Nome,Totale
ABBONDANZA,18
ANNA TERESA,18
ARNALDO,18
AURELIA,18
COSTANZA,18
JESSICA,18
LICIA,18
LORELLA,18
MARIA CONSIGLIA,18
MARIANA,18
MAURA,18
MIRCO,18
NICOLAS,18
RAMONA,18
AMLETO,17
ANGELINA,17
BIANCA MARIA,17
DANIEL,17
EZIO,17
FRANCESCO ANTONIO,17
GRAZIANA,17
JONATHAN,17
KEVIN,17
LIVIO,17
MARIA DONATA,17
NICOLINA,17
ORLANDO,17
PARIDE,17
TONIO,17
ANNA LAURA,16
FORTUNATO,16
GIOVANNI BATTISTA,16
MARINO,16
MICHELLE,16
MODOU,16
NINA,16
ORESTE,16
PIETRINA,16
PIETRO PAOLO,16
ROMEO,16
SANTIAGO,16
SELENE,16
ADELAIDE,15
CESARIO,15
CESIRA,15
CLARISSA,15
DAMIANA,15
DORA,15
ELDA,15
EROS,15
FRANCESCO PIO,15
GIACINTO,15
GIANMARIA,15
IGNAZIO,15
MICAELA,15
NATASHA,15
PANTALEA,15
PASQUA,15
PIERANGELO,15
RITA MARIA,15
SUSANNA,15
VANIA,15
ANTONELLO,14
ANTONIA MARIA,14
ARCANGELO,14
AURELIO,14
ELIA,14
ELSA,14
GIOIA,14
ILARIO,14
ISMAELE,14
LEONARDA,14
LUCIA ANNA,14
LUISELLA,14
MARIA LUCE,14
MARIACHIARA,14
MARIATERESA,14
MIHAELA,14
NUNZIA,14
PIER LUIGI,14
PIERINA,14
RENZO,14
ROSA ALBA,14
ROSSANO,14
TAMARA,14
ACHILLE,13
AMBRA,13
ANNA CARMELA,13
ANNA ROSARIA,13
CLOTILDE,13
DESIREE,13
DORINA,13
FABRIZIA,13
FRANCESCA ROMANA,13
GIULIA MARIA,13
JOELE,13
LORETANA,13
LUIGI ANTONIO,13
MAFALDA,13
MARIA ANTONELLA,13
MARIA LUIGIA,13
NATALINA,13
NUNZIO,13
PALMIRO,13
PATRIZIO,13
POMPILIO,13
ROSELLA,13
RUGGIERO,13
SAVERIA,13
UBALDO,13
VIORICA,13
VIRGILIO,13
YURI,13
ABDOULAYE,12
ADALGISA,12
AIDA,12
ALMA,12
ANA,12
ANGIOLA,12
ANNA ANTONIA,12
CHEIKH,12
CHIARA MARIA,12
CLORINDA,12
CONCETTINA,12
COSIMA DAMIANA,12
COSIMINA,12
EDDA,12
ESTERINA,12
FILIPPO MARIA,12
FRANCESCO GIUSEPPE,12
GABRIELA,12
GIANPAOLO,12
GIORDANA,12
GIOVANNI PAOLO,12
GRAZIA MARIA,12
LUCE,12
MARIANO,12
MBAYE,12
MELANIA,12
MIA,12
NORMA,12
PIERINO,12
POMPEO,12
SAMANTHA,12
VICTORIA,12
ZAIRA,12
ADELINA,11
AHMED,11
ALBINA,11
ALEXANDRA,11
ALI,11
ANNAROSA,11
ANTONIO GIUSEPPE,11
BRIZIO,11
CESARINA,11
DANTE,11
DENIS,11
DINO,11
ELIDE,11
GIOVANNI MARIA,11
GISELLA,11
GIUDITTA,11
IRIS,11
KHADIJA,11
LEANDRO,11
LORETA,11
MARIA CELESTE,11
MARIA SOFIA,11
MARIACRISTINA,11
MARIARITA,11
MARICA,11
MOUSTAPHA,11
NATASCIA,11
NICOLETA,11
OLIVIERO,11
OMBRETTA,11
ORAZIO,11
OTTAVIA,11
RAFFAELLO,11
REALINO,11
RITA ANNA,11
ROMANO,11
ROMOLO,11
RUBEN,11
SVEVA,11
TECLA,11
YLENIA,11
ABDOU,10
ADAM,10
ALEXANDER,10
ANTHONY,10
ANTONIO SALVATORE,10
AUGUSTA,10
CARLO MARIA,10
CATALDO,10
ERRICO,10
FERNANDO ANTONIO,10
FRANCESCO SAVERIO,10
GIANNA,10
GIORGINA,10
GIOSUE',10
IACOPO,10
ILEANA,10
ISABEL,10
LAURETANA,10
LEA,10
LINO,10
LISA,10
MARIA ELISABETTA,10
MARIA GIULIA,10
MARIANTONIETTA,10
MIRANDA,10
NAOMI,10
NATALIZIA,10
NICETA,10
NICHOLAS,10
OTELLO,10
PIETRO LUIGI,10
ROSAMARIA,10
SAMANTA,10
SILVESTRO,10
TERESA MARIA,10
VITANTONIO,10
VLADIMIRO,10
WILMA,10
ANA MARIA,9
ANNA ELISA,9
ANNA LUISA,9
ANNAGRAZIA,9
AWA,9
BENIAMINO,9
BRIGIDA,9
DESIRE',9
DESIREE',9
EMILIANA,9
FEDORA,9
FIORENZA,9
GASPARE,9
GEORGIA,9
GIAN MARCO,9
GIOVAMBATTISTA,9
GISELDA,9
GIUSEPPE ANTONIO,9
GIUSTINA,9
GUSTAVO,9
JOY,9
LIANA,9
LUCILLA,9
LUNA,9
MANOLO,9
MARIA ANNUNZIATA,9
MARIA ELISA,9
MARIA SOLE,9
MARIA VITA,9
MARIALUISA,9
MARIAPIA,9
MARIAVITTORIA,9
MARIO ANTONIO,9
MATILDA,9
MAURIZIA,9
MICHEL,9
MOHAMMED,9
NERINA,9
ORIANA,9
PIA,9
PRISCILLA,9
RAIMONDO,9
ROSARIA MARIA,9
SIRIA,9
SOPHIA,9
STANISLAO,9
VERDIANA,9
VITA MARIA,9
AMANDA,8
AMINA,8
ANNA LUIGIA,8
ANNUNZIATO,8
ANTIMO,8
ANTONIO LUIGI,8
ARCANGELA,8
COSIMO ANTONIO,8
DORIANA,8
EDMONDO,8
ELENA MARIA,8
ERMANNO,8
ESMERALDA,8
FEDELE,8
FLAMINIA,8
FLORIANO,8
FORTUNATA,8
FRANCESCO GIOVANNI,8
GABRIELE MARIA,8
GIOCONDA,8
GIOVANNA MARIA,8
GIUSEPPE SALVATORE,8
HELENA,8
LEILA,8
LINDITA,8
MAICOL,8
MALGORZATA,8
MANOLA,8
MARIA BEATRICE,8
MARIA PATRIZIA,8
MARIA VINCENZA,8
MARILU',8
MOUSSA,8
NATHAN,8
ORIETTA,8
ORONZINA,8
PINA,8
REGINA,8
REMO,8
ROBERT,8
ROSANGELA,8
SALVATORE ANTONIO,8
SOKOL,8
SWAMI,8
ALBINO,7
ALFIO,7
ALVARO,7
ANDREA FRANCESCO,7
ANIELLO,7
ANNIBALE,7
ANTONIO FRANCESCO,7
ASTRIT,7
BABACAR,7
BIANCAMARIA,7
BORIS,7
BRYAN,7
CAMILLO,7
CARLO ALBERTO,7
CONSUELO,7
CRISTINA MARIA,7
DOROTEA,7
ELISABETTA MARIA,7
ERIC,7
ERMELINDA,7
ERNESTA,7
FABIANO,7
FALLOU,7
FLORENTINA,7
GAIA MARIA,7
GERARDA,7
GIANFRANCA,7
GIANVITO,7
GIOVANNI ANTONIO,7
GIUSTO,7
GUENDALINA,7
HASSAN,7
IGOR,7
IVONNE,7
JASMINE,7
JOSEPH,7
JULIA,7
JURI,7
LAILA,7
LIBERATO,7
LILIA,7
LORENZO ANTONIO,7
LUCIA MARIA,7
LUIGI MARIA,7
LUIGIA MARIA,7
LUISA MARIA,7
MAGDA,7
MALIKA,7
MARA,7
MARCO ANTONIO,7
MARCO GIUSEPPE,7
MARIA ABBONDANZA,7
MARIA APARECIDA,7
MARIA DOLORES,7
MARIA GIUSEPPINA,7
MARIA MARGHERITA,7
MARIA SILVANA,7
MIRELA,7
MOR,7
MORENA,7
MORENO,7
MYRIAM,7
OUSMANE,7
PAOLA MARIA,7
PAOLINA,7
PASQUALINO,7
PRIMO,7
RINA,7
ROMANA,7
SAVINO,7
SEBASTIAN,7
SERAFINA,7
SOFIA MARIA,7
TEODORA,7
TONINO,7
VELIA,7
AFERDITA,6
ALBA MARIA,6
ALBERTA,6
ALESSANDRO MARIA,6
ALINA,6
ALIOUNE,6
ALLEGRA,6
ANNA CINZIA,6
ANNA GIUSEPPA,6
ANNALAURA,6
ANTONIA ANNA,6
AURORA MARIA,6
BARTOLOMEO,6
BASILIO,6
CARLO ANTONIO,6
CARLO GIUSEPPE,6
CARMELA MARIA,6
CARMELINO,6
CHANTAL,6
CORINNE,6
COSTANTINA,6
CROCIFISSO,6
DENNIS,6
DRITAN,6
EDMOND,6
ELOISA,6
ELVIO,6
FATOU,6
FAUSTA,6
FELICIA,6
FIAMMETTA,6
FRANCESCO MARIO,6
GABRIELE ANTONIO,6
GENOVEFFA,6
GIACOMINA,6
GIAN LUCA,6
GIGLIOLA,6
GIOACCHINO,6
GIOVANNI FRANCESCO,6
GIOVANNI LUCA,6
GIROLAMO,6
GIULIETTA,6
GIULIO ANTONIO,6
GIUSY,6
ILDA,6
JAVIER,6
JENNIFER,6
JOANA,6
KHADIM,6
KHALID,6
LANFRANCO,6
LAURA MARIA,6
LEO,6
LEONE,6
LORENZO MARIA,6
LUDOVICA MARIA,6
MAGDALENA,6
MAJLINDA,6
MARGARET,6
MARIA ADELAIDE,6
MARIA CATERINA,6
MARIA COSTANZA,6
MARIA FELICIA,6
MARIA JOSE',6
MARIA PALMA,6
MARIAM,6
MARIAROSA,6
MATTEO ANTONIO,6
MATTEO MARIA,6
MERCEDES,6
MERIEM,6
MICHAELA,6
MINA,6
MONIKA,6
NATALE,6
NICOL,6
NINO,6
ORSOLA,6
PAOLO ANTONIO,6
PATRICK,6
PIER GIORGIO,6
PIERO LUIGI,6
QUINTINO,6
RAIMONDA,6
RINALDO,6
RITA LUCIA,6
SAID,6
SAMIRA,6
SERIGNE,6
SEVERINO,6
SOPHIE,6
TINA,6
TOMMASA,6
TULLIO,6
VICTOR,6
VINCENZO ANTONIO,6
VITTORIA MARIA,6
VJOLLCA,6
YARI,6
ZOE,6
ABDUL,5
ABLAYE,5
ADALBERTO,5
ADELA,5
AISSATOU,5
ALDA,5
ALEKSANDRA,5
ALFONSINA,5
ALICE MARIA,5
AMADOU,5
AMERICO,5
ANDREA MARIA,5
ANDREA ORONZO,5
ANGELO ANTONIO,5
ANILA,5
ANNA ANTONIETTA,5
ANNA BARBARA,5
ANNA CRISTINA,5
ANNA GABRIELLA,5
ANNA MARIA ROSARIA,5
ANNA PATRIZIA,5
ANTONINA,5
ANTONIO CARMELO,5
ANTONIO DOMENICO,5
ANTONIO FERNANDO,5
ANTONIO GIOVANNI,5
ANTONIO MARIA,5
ANTONIO RAFFAELE,5
ASSANE,5
BASSIROU,5
BENEDETTA MARIA,5
BERNADETTE,5
BIBIANA,5
BICE,5
BRIAN,5
CARLOS,5
CARMELA RITA,5
CELESTINA,5
CHLOE,5
CORRADINO,5
COUMBA,5
CROCIFISSA,5
DANIELA MARIA,5
DELFINA,5
DINA,5
DONATELLO,5
DRITA,5
EGLE,5
ELETTRA,5
ELISABETA,5
EMILY,5
EMIRA,5
ENRICHETTA,5
ERCOLE,5
EUFEMIA,5
EVELYN,5
FATNA,5
FEDERICO ANTONIO,5
FIORINA,5
FIORINO,5
FLAVIANA,5
FRANCESCA ANNA,5
FRANCESCA PAOLA,5
FRANCESCO LUIGI,5
FRANCESCO SALVATORE,5
GELTRUDE,5
GENNY,5
GESSICA,5
GEZIM,5
GIAN FRANCO,5
GIAN PAOLO,5
GIANDOMENICO,5
GIONATA,5
GIOVANNI CARLO,5
GIOVANNI MARIO,5
GIUSEPPE MARIO,5
GRETA MARIA,5
HARPREET,5
IBRAHIM,5
ILARY,5
IMRAN,5
INCORONATA,5
INGRID,5
IOANA,5
IRINA,5
ISSA,5
KATIUSCIA,5
KRISTIAN,5
LAMINE,5
LENUTA,5
LEONORA,5
LEOPOLDO,5
LIA,5
LORNA,5
LUCA GIUSEPPE,5
LUCIA ANTONIA,5
LUIGI GIUSEPPE,5
MANUELE,5
MARCELA,5
MARIA BENEDETTA,5
MARIA CAROLINA,5
MARIA CECILIA,5
MARIA DANIELA,5
MARIA ELVIRA,5
MARIA EUGENIA,5
MARIA FILOMENA,5
MARIA FONTANA,5
MARIA GISELLA,5
MARIA GLORIA,5
MARIA LAURETANA,5
MARIA LILIANA,5
MARIA LOREDANA,5
MARIA LUDOVICA,5
MARIA RAFFAELA,5
MARIA RAFFAELLA,5
MARIA SANTA,5
MARIA SAVERIA,5
MARIA SERENA,5
MARIA STEFANIA,5
MARIA VALENTINA,5
MARIASOLE,5
MARIASSUNTA,5
MARIDA,5
MATTEO LUIGI,5
MICOL,5
MIMOZA,5
NADA,5
NATALINO,5
NICO,5
NICOLA ANTONIO,5
NICOLINO,5
OTTORINO,5
OUMAR,5
PALMINA,5
PANCRAZIO,5
PAOLINO,5
PENELOPE,5
PIERANTONIO,5
PIETRO NICOLA,5
RAM,5
REALINA,5
ROCCO SALVATORE,5
ROLANDO,5
ROMUALDO,5
ROSA ANGELA,5
ROSARIA ANNA,5
ROSITA,5
SABINO,5
SAMUELA,5
SANTINO,5
SARA MARIA,5
SERAFINO,5
SEYNABOU,5
STEVEN,5
SUKHWINDER,5
SUZANA,5
SVETLANA,5
TOBIA,5
VINICIO,5
VITO DONATO,5
YASMINE,5
ZAHRA,5
ABDELAZIZ,4
ABDERRAHIM,4
ABDULLAH,4
ABID,4
ABRAMO,4
ADAMO,4
ADRIAN,4
AGNIESZKA,4
AICHA,4
ALBAROSA,4
ALBERTO MARIA,4
ALEANDRO,4
ALESSANDRA MARIA,4
ALESSANDRO ANTONIO,4
ALESSIA MARIA,4
ALEXIA,4
ALIDA,4
ALIJA,4
ALIOU,4
ALYSSA,4
AMBROGIO,4
AMERIGO,4
AMILCARE,4
AMINATA,4
ANASTACIA,4
ANDREA ANTONIO,4
ANDREA GIUSEPPE,4
ANDRES,4
ANGELA GABRIELLA,4
ANGELAMARIA,4
ANGELANTONIO,4
ANGELICA MARIA,4
ANGELO RAFFAELE,4
ANNA ADDOLORATA,4
ANNA FRANCESCA,4
ANNA GIULIA,4
ANNA GIUSEPPINA,4
ANNA IRENE,4
ANNA MARIA TERESA,4
ANNA MIRELLA,4
ANNABELLA,4
ANNALIA,4
ANTONIO ALESSANDRO,4
ANTONIO GIULIO,4
ANTONIO MARCO,4
ANTONIO PIO,4
ARMIDA,4
ASSUNTINA,4
