cognome,totale
BRIGIOTTI,33
LENA,33
NATALE,33
PANICUCCI,33
D'AMICO,33
MORUCCI,33
ONORATI,33
MARTINO,33
BASSANO,33
MOTTA,33
GIAMPAOLI,33
CALEO,33
ROMBOLINI,33
FRASCHI,33
GRANDI,33
RIA,33
ACCONCI,33
BILLI,33
VANGI,33
BECUZZI,33
LOMBARDINI,32
GONNELLI,32
MELONI,32
FANUCCHI,32
FALCHI,32
MEUCCI,32
ARRIGHI,32
PEZZINI,32
CARPITA,32
FRANCONI,32
SALLA,32
FIORILLO,32
SALVI,32
MALANIMA,32
ADAMI,32
MACCHI,32
LIGUORI,32
PRACCHIA,32
MANNI,32
FALCIANI,32
ORSOLINI,32
CAMPANILE,32
TALINI,32
BENASSI,32
CINQUINI,32
TORTORA,32
GIOVANNONI,32
ZANNI,32
CALLONI,32
COCCHI,32
LUPERI,32
MICHELETTI,32
FRANGIONI,32
GAMBINO,32
DE MARCO,32
PUPILLI,32
ARNALDI,32
GRONCHI,32
LISI,32
PANTANI,31
DIALLO,31
CARBONELL,31
GIGLIUCCI,31
GEPPETTI,31
VERNASSA,31
DELL'OMODARME,31
CIANTELLI,31
BOZZI,31
DI TANTO,31
FERRO,31
OLIVIERO,31
LIVI,31
VIACAVA,31
DISEGNI,31
BARTOLUCCI,31
NIANG,31
ROMOLI,31
HOXHA,31
DINELLI,31
TAMPUCCI,31
MORLACCHI,31
DUCCI,31
CAROVANO,31
MASSA,31
MONTALBANO,31
VALENTINI,31
DEL SEPPIA,31
MARMUGI,31
GUARGUAGLINI,31
SORIANI,31
PERELLI,30
VALERI,30
GAMBIS,30
CRESTACCI,30
VOIR,30
PERNA,30
PARRINI,30
VISCONTI,30
CARTA,30
TONARINI,30
BEPPI,30
VELLUTINI,30
ROFFI,30
PIEROZZI,30
CARRARA,30
BASTIANELLI,30
TOGNONI,30
DI DOMENICO,30
GENTILI,30
CAMBI,30
FRANCESCHINI,30
BELLONI,30
MAGAGNINI,30
BAZZI,30
BUSHI,30
CESELLI,30
CANCELLI,30
ARIGONI,30
PELUSO,30
BASTOGI,30
BUONO,30
SECCHI,30
CARLETTI,30
SALTARELLI,30
FABBRINI,30
ALLORI,30
FINOCCHIETTI,30
GALLENI,30
LASCIALFARI,30
LEONARDINI,29
LUCIANI,29
ARCURI,29
VAGLINI,29
GIOVACCHINI,29
PIVA,29
D'ERCOLE,29
CECCOTTI,29
CURCIO,29
DI SACCO,29
MARONGIU,29
MAGGI,29
SPINETTI,29
DI BARTOLOMEO,29
BORRIELLO,29
ATTANASIO,29
CACCIARI,29
MOSCATO,29
FEDELI,29
VITI,29
TURI,29
ZINGONI,29
POGGIALI,29
PETRONICI,29
ANGUILLESI,29
GUIDOTTI,29
SARTINI,29
D'AGOSTINO,29
GANNI,29
GEMIGNANI,29
DEL GIUDICE,29
GAMBOGI,29
LOFFREDO,29
BOIS,29
MARMEGGI,29
SALIU,29
BETTINI,29
CARLUCCI,29
CHIARINI,29
CACCIAPUOTI,29
COZZOLINO,29
YE,29
RUBERTI,29
ANTONACCI,29
DE FELICE,29
DANERO,29
MASSAI,29
MIGLI,29
STIAFFINI,29
COLONNACCHI,29
FAZIO,29
TROTTA,29
BULLARI,29
NOBILI,29
TONI,29
MELOSI,29
CARBONE,29
SASSETTI,29
FORESI,28
BATINI,28
MAGHERINI,28
PALLINI,28
MARRADI,28
PETRILLO,28
REPETTI,28
CINELLI,28
MAGNI,28
TOSO,28
CHIAPPE,28
MAZZOLI,28
ROGAI,28
ALLA,28
BOTTA,28
ABATE,28
CAPITANI,28
PUCCETTI,28
NAPOLITANO,28
FERRIGNO,28
MAZZINGHI,28
HU,28
DOMILICI,28
CORTOPASSI,28
GARGIULO,28
FAVA,28
LUGHERI,28
NOTA,28
MARCACCI,28
D'ALESIO,28
PERUZZI,28
GUELFI,28
BOTTEGHI,28
MEONI,28
TOMMASINI,28
DI CHIARA,28
LUCETTI,28
VINCENTI,28
VALTRIANI,28
CENCI,28
PROSPERI,28
TORI,28
CORRADINI,28
LANARI,28
CATALDI,28
DE MEMME,28
BERTUCCELLI,28
FARINA,28
DE ROSA,28
ZUCCHI,27
MARIOTTINI,27
BILIOTTI,27
MORIANI,27
CHECCACCI,27
FRANGERINI,27
FIORENTINO,27
D'ALESSANDRO,27
MENNELLA,27
PAPERINI,27
GIOLLI,27
BIANCO,27
DONNINI,27
BECHERUCCI,27
FRANCESCONI,27
DE SANTI,27
ALLEGRANTI,27
GUFONI,27
PACCIARDI,27
VETTORI,27
ROSSELLI,27
MERLINI,27
FONTANI,27
DE VANNI,27
CHELI,27
CASAPIERI,27
DANI,27
TACCOLA,27
TOFANI,27
PICCIOLI,27
MONTAUTI,27
ZACCAGNA,27
RICCIARDULLI,27
ALDERIGI,27
ORSI,27
MICELI,27
LAUCCI,27
FALL,27
ROTONDO,27
STRAZZABOSCO,27
BRANDI,27
GREGORI,27
FANTINI,27
FATTORI,27
FELICI,27
CIAPINI,27
LERA,27
LAUNARO,27
QATO,26
FICINI,26
BASSI,26
BALDASSERONI,26
GHIOZZI,26
DE SIMONE,26
CAMPO,26
TONCI,26
GIULIANO,26
GALLINARI,26
PARADISI,26
FORMIGLI,26
MONTANO,26
TAGLIAFERRI,26
MANCA,26
AVALLONE,26
PREX,26
VAIANI,26
MUSMECI,26
STEFANELLI,26
PIETRA CAPRINA,26
CIOMPI,26
TOPI,26
DELLA BELLA,26
MARIANELLI,26
LANZILLO,26
CAMPOREGGI,26
CUCCIOLINI,26
DI MARTINO,26
BARACCHINO,26
BOSCHI,26
BICCHIERINI,26
ULIVARI,26
GUALTIERI,26
NAPOLI,26
TEMPESTINI,26
PANIZZI,26
CARDOSI,26
ROMANI,26
RICCIONI,26
GUIDUCCI,26
MANGINI,26
WANG,25
MONTIGIANI,25
BASSINI,25
HASA,25
PERNICE,25
LAMBARDI,25
SIMEONE,25
MENICHINI,25
PARIGI,25
BORGIOTTI,25
GRISELLI,25
MUGNAI,25
LONGO,25
ORSUCCI,25
RAUGEI,25
MORO,25
FIGARO,25
CALVETTI,25
VASILE,25
SERPI,25
LA BRUNA,25
LORENZETTI,25
PANICHI,25
COZZI,25
BRIZZI,25
ROMANELLI,25
DEL SANTO,25
ELIA,25
PETRINI,25
PELLETTI,25
VERACINI,25
BONATTI,25
PIRAM,25
PARRI,25
CELLIERI,25
MOTRONI,25
BOLOGNINI,25
COLTELLI,25
BERTUCCI,25
FAVARO,25
MANNELLI,25
LO COCO,25
BERTOLLA,25
GABBRIELLINI,25
D'AMATO,25
BENNI,25
MACELLONI,25
CRISTIANO,25
DEL BIMBO,25
LEPORE,25
NICOLETTI,25
MANTERI,25
GIAROLA,25
GALASSO,25
GIOMI,25
MANZINI,24
GIUFFRIDA,24
MORICONI,24
LUTI,24
PILATO,24
FLORIO,24
SALERNO,24
PRATELLI,24
CANIGIANI,24
MARINELLI,24
CASU,24
LANDUCCI,24
PIRAS,24
RAPISARDA,24
BURINI,24
PINNA,24
PULCINELLI,24
LOCATELLI,24
MARCUCCI,24
GUCCINI,24
DE SIMONI,24
ROTINI,24
PRECANIA,24
MILIANTI,24
BECHERINI,24
NIGRO,24
GRILLI,24
BALLUCHI,24
SCAPUZZI,24
REVELLO,24
PULIDORI,24
RUGGIERO,24
BANCHI,24
MANNINI,24
BELFIORE,24
GIAMMATTEI,24
SCALA,24
CATANZANO,24
CHIAMA,24
D'ELIA,24
AGASI,24
MAGRINI,24
BONALDI,24
ASCIONE,24
SPANESHI,24
SANTAGATA,24
D'ANDREA,24
BAIOCCHI,24
ACCARDO,24
SABA,24
GRANIERO,24
DI STEFANO,24
URBANI,23
BATTISTI,23
LORETI,23
RUGGERI,23
DI PASQUALE,23
BALUGANTI,23
VASELLI,23
BRASCHI,23
CHESI,23
BARONCELLI,23
PANARIELLO,23
CRISCUOLO,23
FRANCINI,23
PICCININI,23
VECCE,23
TRAVALI,23
COSTAGLIOLA,23
ARRIGONI,23
TODARO,23
ANCONA,23
ALBANESI,23
FAVATI,23
DAINELLI,23
ROSSINI,23
BOTTAI,23
PINTO,23
SCARPA,23
CAMBINI,23
PIPERNO,23
SCHILLACI,23
DI FRANCO,23
TASSI,23
GAZZETTI,23
MONTELLA,23
SHESHI,23
MARCHESINI,23
TRIVELLA,23
