"CODICE CORSO DI STUDI";"CORSO DI STUDI";"CODICE TIPOLOGIA";TIPOLOGIA;URL;
007201;"BIOTECNOLOGIE MEDICHE";LS;"Laurea specialistica";www.medicina.unito.it;
008241;"SCIENZA E TECNOLOGIA PER I BENI CULTURALI";LS;"Laurea specialistica";www.stbeniculturali.unito.it;
102114;"BANKING E RISK MANAGEMENT";M1;"Master di Primo Livello";;
090703;"SCIENZE E CULTURA DELLE ALPI";L;"Laurea triennale (DM270)";http://agraria-offdid.campusnet.unito.it/do/home.pl/View?doc=paginecds/scienze_e_cultura_delle_alpi.html;
005508;"FILOLOGIA, LETTERATURE E STORIA DELL'ANTICHITÀ";LM;"Laurea Magistrale";http://filologia.campusnet.unito.it/do/home.pl;
005502;"SCIENZE LINGUISTICHE";LM;"Laurea Magistrale";http://linguistica.campusnet.unito.it/do/home.pl;
011106;"COMPETENZE RELAZIONALI PER INSEGNANTI CHE INTERAGISCONO CON ALUNNI E FAMIGLIE CON BISOGNI EDUCATIVI SPECIALI";M2;"Master di Secondo Livello";;
0403M21;"ECONOMIA DELL'AMBIENTE, DELLA CULTURA E DEL TERRITORIO";LM;"Laurea Magistrale";http://www.didattica-est.unito.it/do/home.pl/View?doc=/corsi_di_laurea_magistrale/ambiente_cultura_territorio_lm56.html;
008301;CHIMICA;LT;"Laurea triennale (DM509)";www.chimica.unito.it;
006701;"SCIENZE DELL'EDUCAZIONE";L;"Laurea triennale (DM270)";http://educazione.campusnet.unito.it/do/home.pl;
056701;BIOTECNOLOGIE;L;"Laurea triennale (DM270)";http://biotec.campusnet.unito.it;
102502;"BUSINESS ADMINISTRATION";LM;"Laurea Magistrale";www.econ.unito.it;
056501;"BIOTECNOLOGIE MOLECOLARI";LM;"Laurea Magistrale";http://biotec.campusnet.unito.it;
090511;"CONSERVAZIONE E RESTAURO DEI BENI CULTURALI";LM;"Laurea Magistrale";http://conservazionerestauro.campusnet.unito.it/do/home.pl;
010502;"MEDICINA VETERINARIA";LM5;"Laurea Magistrale Ciclo Unico 5 anni";http://veterinaria.campusnet.unito.it/do/home.pl/View?doc=laurea_2_livello/links_magistrale/magistralemv.html;
005108;EGITTOLOGIA;M2;"Master di Secondo Livello";;
006118;"METODI E TECNOLOGIE PER IL LIFELONG LEARNING. PROGETTUALITA' E INNOVAZIONE PER LA CONDIVISIONE DELLE CONOSCENZE (MATELL)";M1;"Master di Primo Livello";;
007918;"ONCOLOGIA MOLECOLARE";M2;"Master di Secondo Livello";;
007919;"ONCOLOGIA PROSTATICA";M2;"Master di Secondo Livello";;
007927;"ONCOLOGIA CHIRURGICA";M2;"Master di Secondo Livello";;
700959;"PROFESSIONI SANITARIE FORENSI";M1;"Master di Primo Livello";;
070716;"TECNICHE AUDIOPROTESICHE (ABILITANTE ALLA PROFESSIONE SANITARIA DI AUDIOPROTESISTA)";L;"Laurea triennale (DM270)";http://medaudiopro.campusnet.unito.it/cgi-bin/home.pl;
004105;"DIRITTO DELLA PUBBLICA AMMINISTRAZIONE";M2;"Master di Secondo Livello";;
102119;"ECONOMIA DEL  LAVORO APPLICATA PER LO SVILUPPO";M1;"Master di Primo Livello";;
700961;"SORVEGLIANZA  E CONTROLLO DELLE INFEZIONE CORRELATE ALL'ASSISTENZA (ICA)";M1;"Master di Primo Livello";;
070704;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";L;"Laurea triennale (DM270)";http://medtriennaliao.campusnet.unito.it/cgi-bin/home.pl;
